player1,numeric,tag_similarity,categorical,tag_numeric,tag_categorical,numeric_categorical,all,player2
Susan Bandecchi,,,0.5773502691896258,,,,0.5773502691896258,Corentin Moutet
Gijs Brouwer,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
Caty Mcnally,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Taylah Preston,,,0.25,,,,0.25,Corentin Moutet
Qinwen Zheng,,,0.27386127875258304,,,,0.27386127875258304,Corentin Moutet
Lexie Stevens,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Jesper de Jong,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Rebecca Peterson,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Ekaterina Makarova,,,0.35355339059327373,,,,0.35355339059327373,Corentin Moutet
Coco Vandeweghe,,,0.3535533905932738,,,,0.3535533905932738,Corentin Moutet
Tallon Griekspoor,,,0.33541019662496846,,,,0.33541019662496846,Corentin Moutet
Bibiane Schoofs,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Robin Haase,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Tim van Rijthoven,,,0.33541019662496846,,,,0.33541019662496846,Corentin Moutet
Miomir Kecmanovic,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Felix Auger-Aliassime,,,0.2834733547569204,,,,0.2834733547569204,Corentin Moutet
Oksana Kalashnikova,,,0.625,,,,0.625,Corentin Moutet
Pavel Kotov,,,0.5,,,,0.5,Corentin Moutet
Belinda Bencic,,,0.5103103630798288,,,,0.5103103630798288,Corentin Moutet
Anouk Koevermans,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Milos Raonic,,,0.34299717028501764,,,,0.34299717028501764,Corentin Moutet
Ilya Ivashka,,,0.5,,,,0.5,Corentin Moutet
Zizou Bergs,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Max Purcell,,,0.3535533905932738,,,,0.3535533905932738,Corentin Moutet
Alexei Popyrin,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Ana Konjuh,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
Priscilla Hon,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Jason Kubler,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Jesika Maleckova,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Viktoria Hruncakova,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
Ysaline Bonaventure,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Ekaterina Alexandrova,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Bianca Andreescu,,,0.27386127875258304,,,,0.27386127875258304,Corentin Moutet
Jasmijn Gimbrere ,,,0.25,,,,0.25,Corentin Moutet
Sabine Lisicki,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
Marc-Andrea Huesler,,,0.7071067811865476,,,,0.7071067811865476,Corentin Moutet
Maxime Cressy,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Edan Leshem,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Emil Ruusuvuori,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Lloyd Harris,,,0.3535533905932738,,,,0.3535533905932738,Corentin Moutet
Alison Riske-Amritraj,,,0.3061862178478973,,,,0.3061862178478973,Corentin Moutet
Dalma Galfi,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
Jannik Sinner,,,0.3922322702763681,,,,0.3922322702763681,Corentin Moutet
Lena Papadakis,,,0.5773502691896258,,,,0.5773502691896258,Corentin Moutet
Petra Martic,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Sachia Vickery,,,0.3922322702763681,,,,0.3922322702763681,Corentin Moutet
Mackenzie McDonald,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Corentin Moutet,,,0.3535533905932738,,,,0.3535533905932738,Max Purcell
Jannik Sinner,,,0.4622501635210242,,,,0.4622501635210242,Max Purcell
Polina Kudermetova,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Alex de Minaur,,,0.7071067811865476,,,,0.7071067811865476,Max Purcell
Bibiane Schoofs,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Jelle Sels,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Natalija Stevanovic,,,0.5443310539518174,,,,0.5443310539518174,Max Purcell
Priscilla Hon,,,0.6666666666666666,,,,0.6666666666666666,Max Purcell
Botic van de Zandschulp,,,0.502518907629606,,,,0.502518907629606,Max Purcell
Ashlyn Krueger,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Milos Raonic,,,0.3233808333817773,,,,0.3233808333817773,Max Purcell
Victoria Azarenka,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Belinda Bencic,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Alison Riske-Amritraj,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Veronika Kudermetova,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Tallon Griekspoor,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Alexander Bublik,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Varvara Gracheva,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
David Goffin,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Qinwen Zheng,,,0.6885303726590963,,,,0.6885303726590963,Max Purcell
Lloyd Harris,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Petra Martic,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Jordan Thompson,,,0.6804138174397717,,,,0.6804138174397717,Max Purcell
Anouk Koevermans,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Bernabe Zapata Miralles,,,0.6236095644623235,,,,0.6236095644623235,Max Purcell
Roberto Bautista Agut,,,0.3849001794597505,,,,0.3849001794597505,Max Purcell
Alexei Popyrin,,,0.5555555555555556,,,,0.5555555555555556,Max Purcell
Sabine Lisicki,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Marc-Andrea Huesler,,,0.3333333333333333,,,,0.3333333333333333,Max Purcell
Dalila Jakupovic,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Yanina Wickmayer,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Oksana Kalashnikova,,,0.3535533905932738,,,,0.3535533905932738,Max Purcell
Tim van Rijthoven,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Viktoria Hruncakova,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Bianca Andreescu,,,0.43033148291193524,,,,0.43033148291193524,Max Purcell
Kimberly Birrell,,,0.8040302522073697,,,,0.8040302522073697,Max Purcell
Lexie Stevens,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Ekaterina Makarova,,,0.3333333333333333,,,,0.3333333333333333,Max Purcell
Edan Leshem,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Carol Zhao,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Karolina Muchova,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Emil Ruusuvuori,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Brandon Nakashima,,,0.5773502691896257,,,,0.5773502691896257,Max Purcell
Pavel Kotov,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Ilya Ivashka,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Daniil Medvedev,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Ugo Humbert,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Noah Gabriel,,,0.29814239699997197,,,,0.29814239699997197,Max Purcell
Eva Vedder,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Anna Blinkova,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Erin Routliffe,,,0.8432740427115678,,,,0.8432740427115678,Max Purcell
Adrian Mannarino,,,0.30151134457776363,,,,0.30151134457776363,Max Purcell
Lena Papadakis,,,0.2721655269759087,,,,0.2721655269759087,Max Purcell
Arthur Rinderknech,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Ysaline Bonaventure,,,0.5773502691896257,,,,0.5773502691896257,Max Purcell
Ellen Perez,,,0.7035264706814485,,,,0.7035264706814485,Max Purcell
Felix Auger-Aliassime,,,0.3563483225498992,,,,0.3563483225498992,Max Purcell
Emina Bektas,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Laslo Djere,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Greet Minnen,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Giovanni Mpetshi Perricard,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Evgeniya Rodina,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Raluka Serban,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Lucrezia Stefanini,,,0.5555555555555556,,,,0.5555555555555556,Max Purcell
Miyu Kato,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Zeynep Sonmez,,,0.29814239699997197,,,,0.29814239699997197,Max Purcell
Dalma Galfi,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Susan Bandecchi,,,0.2721655269759087,,,,0.2721655269759087,Max Purcell
Jasmijn Gimbrere ,,,0.5892556509887896,,,,0.5892556509887896,Max Purcell
Coco Vandeweghe,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Miomir Kecmanovic,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Gijs Brouwer,,,0.3333333333333333,,,,0.3333333333333333,Max Purcell
Elise Mertens,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Kristina Dmitruk,,,0.3333333333333333,,,,0.3333333333333333,Max Purcell
Anna-Lena Friedsam,,,0.4216370213557839,,,,0.4216370213557839,Max Purcell
Marie Bouzkova,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Shelby Rogers,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Jessika Ponchet,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Yue Yuan,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Jesper de Jong,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Venus Williams,,,0.40201512610368484,,,,0.40201512610368484,Max Purcell
Katie Volynets,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Ricardas Berankis,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Liudmila Samsonova,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Alec Deckers,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Jesika Maleckova,,,0.5555555555555556,,,,0.5555555555555556,Max Purcell
Mikael Ymer,,,0.502518907629606,,,,0.502518907629606,Max Purcell
Ankita Raina,,,0.5962847939999439,,,,0.5962847939999439,Max Purcell
Dayne Kelly,,,0.629940788348712,,,,0.629940788348712,Max Purcell
Mai Hontama,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Celine Naef,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Rinky Hijikata,,,0.5555555555555556,,,,0.5555555555555556,Max Purcell
Jason Kubler,,,0.5555555555555556,,,,0.5555555555555556,Max Purcell
Marin Cilic,,,0.3849001794597505,,,,0.3849001794597505,Max Purcell
Maxime Cressy,,,0.3849001794597505,,,,0.3849001794597505,Max Purcell
Zizou Bergs,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Eva Lys,,,0.4444444444444444,,,,0.4444444444444444,Max Purcell
Arthur Fils,,,0.7035264706814485,,,,0.7035264706814485,Max Purcell
Lesley Pattinama Kerkhove,,,0.47140452079103173,,,,0.47140452079103173,Max Purcell
Ekaterina Alexandrova,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Caty Mcnally,,,0.4811252243246881,,,,0.4811252243246881,Max Purcell
Borna Coric,,,0.502518907629606,,,,0.502518907629606,Max Purcell
Robin Haase,,,0.5039526306789696,,,,0.5039526306789696,Max Purcell
Andrea Vavassori,,,0.5443310539518174,,,,0.5443310539518174,Max Purcell
Pablo Carreno Busta,,,0.44543540318737396,,,,0.44543540318737396,Max Purcell
Sachia Vickery,,,0.554700196225229,,,,0.554700196225229,Max Purcell
